Rank,Name,Platform,Year,Genre,Critic_Score,User_Score,Publisher,Developer,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Total_Sales
180,Spyro,Series,1998.0,Platform,,,Sony Computer Entertainment  ,Insomniac Games  ,,,,,
181,Stardew Valley,Series,2016.0,Simulation,,,Chucklefish  ,ConcernedApe  ,,,,,
182,Stardew Valley,All,2016.0,Simulation,,,ConcernedApe  ,ConcernedApe  ,,,,,
183,Tom Clancy's The Division,Series,2016.0,Shooter,,,Ubisoft  ,Massive Entertainment  ,,,,,
184,Watch Dogs,Series,2014.0,Action-Adventure,,,Ubisoft  ,Ubisoft  ,,,,,
185,Yakuza,Series,2006.0,Action-Adventure,,,Sega  ,Sega  ,,,,,
186,God of War (2018),PS4,2018.0,Action,9.7,10.0,Sony Interactive Entertainment  ,SIE Santa Monica Studio  ,2.83,2.17,0.13,1.02,6.15
187,Grand Theft Auto V,PS4,2014.0,Action,9.7,,Rockstar Games  ,Rockstar North  ,6.06,9.71,0.6,3.02,19.39
188,StarCraft,Series,1998.0,Strategy,,,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,
189,Brain Age: Train Your Brain in Minutes a Day,DS,2006.0,Misc,8.1,,Nintendo  ,Nintendo SDD  ,4.74,9.21,4.16,2.04,20.16
190,Call of Duty: Ghosts,All,2013.0,Shooter,,,Activision  ,Infinity Ward  ,,,,,
191,Driver,Series,1999.0,Racing,,,GT Interactive  ,Ubisoft Reflections  ,,,,,
192,WarCraft,Series,1994.0,Strategy,,,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,
193,Mario Kart 7,3DS,2011.0,Racing,8.2,,Nintendo  ,Nintendo EAD / Retro Studios  ,6.03,5.35,3.0,1.11,15.49
194,Midnight Club,Series,2000.0,Racing,,,Rockstar Games  ,Rockstar San Diego  ,,,,,
195,Super Mario Party,NS,2018.0,Party,7.3,,Nintendo  ,"Nd Cube Co., Ltd.  ",2.12,1.64,0.85,0.36,4.97
196,Super Mario Land,GB,1989.0,Platform,,,Nintendo  ,Nintendo R&D1  ,10.83,2.71,4.18,0.42,18.14
197,Ace Combat,Series,1995.0,Simulation,,,Namco  ,Namco  ,,,,,
198,Need for Speed: Most Wanted,All,2005.0,Racing,,,Electronic Arts  ,EA Canada  ,,,,,
199,Pokémon Diamond / Pearl Version,DS,2007.0,Role-Playing,8.6,,Nintendo  ,Game Freak  ,6.38,4.47,6.04,1.36,18.25
200,Elden Ring,All,2022.0,Action-Adventure,,,Bandai Namco Entertainment  ,From Software  ,,,,,
201,Grand Theft Auto: Vice City,All,2002.0,Action-Adventure,,,Rockstar Games  ,Rockstar North  ,,,,,
202,Grand Theft Auto: San Andreas,PS2,2004.0,Action,9.5,,Rockstar Games  ,Rockstar North  ,9.43,0.4,0.41,10.57,20.81
203,Super Mario Bros. 3,NES,1990.0,Platform,,,Nintendo  ,Nintendo R&D2  ,9.54,3.44,3.84,0.46,17.28
204,RollerCoaster Tycoon,Series,1999.0,Simulation,,,Hasbro Interactive  ,Chris Sawyer Productions  ,,,,,
205,Professor Layton,Series,2008.0,Adventure,,,Nintendo  ,Level-5  ,,,,,
206,SoulCalibur,Series,1996.0,Fighting,,,Namco  ,Project Soul  ,,,,,
207,Zuma,Series,2003.0,Puzzle,,,PopCap Games  ,Oberon Media  ,,,,,
208,Zuma,All,2003.0,Puzzle,,,PopCap Games  ,Oberon Media  ,,,,,
209,Garry's Mod,PC,2006.0,Misc,,,Valve  ,Facepunch Studios  ,,,,,
210,Pokemon Mystery Dungeon,Series,2006.0,Role-Playing,,,Nintendo  ,Chunsoft  ,,,,,
211,Metroid,Series,1987.0,Action-Adventure,,,Nintendo  ,Nintendo  ,,,,,
212,Pokémon X/Y,3DS,2013.0,Role-Playing,8.9,9.3,Nintendo  ,Game Freak  ,5.68,5.06,4.4,0.99,16.13
213,Hitman,Series,2000.0,Action-Adventure,,,Eidos Interactive  ,IO Interactive  ,,,,,
214,Mario Tennis,Series,1995.0,Sports,,,Nintendo  ,Nintendo  ,,,,,
215,Deus Ex,Series,2000.0,Role-Playing,,,Eidos Interactive  ,Ion Storm  ,,,,,
216,Persona,Series,1996.0,Role-Playing,,,Atlus  ,Atlus  ,,,,,
217,Pokémon Sun/Moon,3DS,2016.0,Role-Playing,9.0,,Nintendo  ,Game Freak  ,6.02,4.34,3.82,0.99,15.17
218,Uncharted 4: A Thief's End,PS4,2016.0,Action,9.2,,Sony Interactive Entertainment  ,Naughty Dog  ,4.49,3.93,0.21,1.7,10.33
219,Pokémon Ruby / Sapphire Version,GBA,2003.0,Role-Playing,8.8,,Nintendo  ,Game Freak  ,6.06,3.9,5.38,0.5,15.85
220,Grand Theft Auto: Vice City,PS2,2002.0,Action,9.6,,Rockstar Games  ,Rockstar North  ,8.41,5.49,0.47,1.78,16.15
221,Borderlands 3,All,2019.0,Shooter,,,2K Games  ,Gearbox Software  ,,,,,
222,FIFA 11,All,2010.0,Sports,,,EA Sports  ,EA Canada  ,,,,,
223,Mass Effect,Series,2007.0,Role-Playing,,,Microsoft Game Studios  ,BioWare  ,,,,,
224,The Sims,All,2000.0,Simulation,,,Electronic Arts  ,Maxis  ,,,,,
225,The Witcher 3: Wild Hunt,PC,2015.0,Role-Playing,,,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,0.29,0.55,,0.07,0.91
226,Grand Theft Auto V,X360,2013.0,Action,,,Rockstar Games  ,Rockstar North  ,9.06,5.33,0.06,1.42,15.86
227,Call of Duty 4: Modern Warfare,All,2007.0,Shooter,,,Activision  ,Infinity Ward  ,,,,,
228,Call of Duty: World at War,All,2008.0,Shooter,,,Activision  ,Treyarch  ,,,,,
229,Pokémon Black / White Version,DS,2011.0,Role-Playing,8.6,9.0,Nintendo  ,Game Freak  ,5.51,3.2,5.66,0.8,15.18
230,Need for Speed: Carbon,All,2006.0,Racing,,,Electronic Arts  ,EA Canada  ,,,,,
231,Momotaro Dentetsu,Series,1988.0,Board Game,,,Hudson Soft  ,Hudson Soft  ,,,,,
232,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,,,Activision  ,Treyarch  ,6.18,6.05,0.41,2.44,15.09
233,Counter-Strike: Source,PC,2004.0,Shooter,9.3,,VU Games  ,Valve Software  ,,0.07,,0.01,0.08
234,Assassin's Creed IV: Black Flag,All,2013.0,Action-Adventure,,,Ubisoft  ,Ubisoft Montreal  ,,,,,
235,Backyard Sports,Series,1997.0,Sports,,,Humongous Entertainment  ,Humongous Entertainment  ,,,,,
236,Barbie,Series,1991.0,Action-Adventure,,,Hi Tech Expressions  ,Imagineering  ,,,,,
