Name,Platform,Year,Genre,Critic_Score,Publisher,Developer,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Total_Sales
Teenage Mutant Ninja Turtles,NES,1989,Platform,5.9,Ultra Games  ,Konami  ,3.38,0.44,0.31,0.04,4.17
Star Wars Battlefront (2015),XOne,2015,Shooter,6.9,Electronic Arts  ,EA DICE  ,2.49,1.26,0.02,0.38,4.15
Madden NFL 2003,PS2,2002,Sports,9.4,EA Sports  ,EA Tiburon  ,3.36,0.21,0.01,0.56,4.14
Donkey Kong Country: Tropical Freeze,NS,2018,Platform,9.1,Nintendo  ,Retro Studios  ,0.71,0.61,0.26,0.12,1.6999999999999997
Super Mario World 2: Yoshi's Island,SNES,1995,Platform,9.0,Nintendo  ,Nintendo EAD  ,1.65,0.61,1.76,0.09,4.109999999999999
Batman: Arkham Knight,PS4,2015,Action,8.1,Warner Bros. Interactive  ,Rocksteady Studios  ,1.65,1.68,0.11,0.66,4.1
FIFA 07 Soccer,PS2,2006,Sports,8.4,EA Sports  ,Team Fusion  ,0.71,2.48,0.03,0.89,4.109999999999999
Street Fighter II Turbo,SNES,1993,Fighting,9.0,Capcom  ,Capcom  ,1.42,0.51,2.1,0.07,4.1000000000000005
Dragon Ball: Xenoverse 2,PS4,2016,Action,7.1,Namco Bandai Games  ,Dimps Corporation  ,0.54,0.59,0.14,0.23,1.5
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,8.6,Sony Computer Entertainment  ,Naughty Dog  ,3.78,2.17,1.31,0.31,7.569999999999999
Fallout: New Vegas,X360,2010,Role-Playing,8.2,Bethesda Softworks  ,Obsidian Entertainment  ,2.67,1.03,0.04,0.34,4.08
Far Cry 4,PS4,2014,Shooter,8.4,Ubisoft  ,Ubisoft Montreal  ,1.18,2.14,0.11,0.63,4.0600000000000005
Carnival Games,Wii,2007,Misc,4.2,Global Star Software  ,Cat Daddy Games  ,2.12,1.47,0.05,0.42,4.06
World Soccer Winning Eleven 9,PS2,2006,Sports,8.9,Konami  ,Konami Computer Entertainment Tokyo  ,0.12,2.26,0.9,0.77,4.05
Forza Motorsport 2,X360,2007,Racing,9.1,Microsoft Game Studios  ,Turn 10 Studios  ,2.35,1.27,0.03,0.41,4.06
Tekken Tag Tournament,PS2,2000,Fighting,8.7,Namco  ,Namco  ,1.68,1.51,0.51,0.35,4.05
Super Mario Maker,WiiU,2015,Platform,8.8,Nintendo  ,Nintendo EAD  ,1.27,0.94,1.03,0.21,3.45
EyeToy Play,PS2,2003,Misc,7.5,Sony Computer Entertainment  ,SCEE London Studio  ,0.88,2.3,0.2,0.83,4.21
Monster Hunter: World,PS4,2018,Action,9.3,Capcom  ,Capcom  ,1.03,1.06,2.17,0.42,4.68
Star Fox 64,N64,1997,Shooter,9.0,Nintendo  ,Nintendo EAD  ,2.78,0.58,0.64,0.04,4.04
